timestamp,mode,armed,roll_deg,pitch_deg,yaw_deg,rollspeed,pitchspeed,yawspeed,x,y,z,vx,vy,vz,speed_h,altitude_agl,battery_pct,battery_v,current_a0,current_a1,voltage_s1,voltage_s2,relay,distance_m
2026-03-26 16:42:19.261,PX4_0,False,-0.004,-1.798,4.44,0.0604,-0.0078,0.0136,0.5103,-0.3406,-3.5033,0.0445,0.0041,0.0076,0.045,3.503,56,14.605,0.0,0.0,0.0,0.03,ON,3.5
2026-03-26 16:42:20.267,PX4_0,False,0.241,-1.42,4.415,-0.0142,0.011,-0.0064,0.5646,-0.3903,-3.5058,0.0307,0.0021,0.0107,0.031,3.506,56,14.598,0.0,0.0,0.0,0.03,ON,3.5
2026-03-26 16:42:21.274,PX4_0,False,0.0,0.0,0.0,0,0,0,0.547,-0.4089,-3.4978,0.0105,0.003,0.0065,0.011,3.498,56,14.598,0.0,0.0,0.0,0.03,ON,3.48
2026-03-26 16:42:22.277,PX4_0,False,-0.098,-1.874,4.391,-0.0726,-0.0019,-0.0201,0.5282,-0.3997,-3.4832,0.0426,0.0229,-0.0078,0.048,3.483,56,14.587,0.0,0.0,0.0,0.03,ON,3.48
2026-03-26 16:42:23.281,PX4_0,False,-0.08,-1.596,3.751,-0.0104,0.0573,0.0024,0.5635,-0.363,-3.4978,0.0679,-0.051,-0.0096,0.085,3.498,56,14.587,0.0,0.0,0.0,0.03,ON,3.5
2026-03-26 16:42:24.285,PX4_0,False,-0.604,-1.386,4.075,-0.088,-0.09,-0.032,0.6073,-0.3518,-3.5042,0.022,-0.0092,0.0118,0.024,3.504,56,14.59,0.0,0.0,0.0,0.03,ON,3.49
2026-03-26 16:42:25.290,PX4_0,False,-0.517,-1.613,4.333,-0.0385,-0.0504,0.0077,0.6061,-0.3667,-3.4939,-0.0036,-0.0497,-0.0041,0.05,3.494,56,14.59,0.0,0.0,0.0,0.03,ON,3.48
2026-03-26 16:42:26.298,PX4_0,False,0.936,-1.505,4.702,-0.0118,0.0435,0.0143,0.6178,-0.5228,-3.491,0.0384,-0.0335,-0.0147,0.051,3.491,56,14.569,0.0,0.0,0.0,0.03,ON,3.49
2026-03-26 16:42:27.305,PX4_0,False,-0.425,-0.41,4.163,-0.0675,0.0093,0.011,0.7123,-0.4676,-3.4977,-0.0451,0.1256,-0.0054,0.133,3.498,56,14.569,0.0,0.0,0.0,0.03,ON,3.49
2026-03-26 16:42:28.309,PX4_0,False,-0.822,-0.108,4.418,0.0299,-0.0458,-0.0096,0.7388,-0.4087,-3.4969,-0.1718,-0.0102,0.003,0.172,3.497,56,14.565,0.0,0.0,0.0,0.03,ON,3.49
2026-03-26 16:42:29.317,PX4_0,False,0.51,-0.795,4.261,0.0686,0.0481,0.025,0.7094,-0.5082,-3.4967,-0.2261,-0.049,-0.0041,0.231,3.497,56,14.565,0.0,0.0,0.0,0.03,ON,3.5
2026-03-26 16:42:30.323,PX4_0,False,0.598,-1.049,5.142,0.0842,0.0885,0.0389,0.6808,-0.558,-3.5001,-0.1944,0.0641,0.0008,0.205,3.5,55,14.552,0.0,0.0,0.0,0.03,ON,3.51
2026-03-26 16:42:31.331,OFFBOARD,True,-0.855,-1.175,5.046,0.0879,0.0054,0.0093,0.6347,-0.4388,-3.4982,-0.1921,0.0592,0.0025,0.201,3.498,55,14.552,0.0,0.0,0.0,0.03,ON,3.5
2026-03-26 16:42:32.339,PX4_0,False,-0.742,-1.009,4.08,0.091,0.0685,0.0163,0.6345,-0.4078,-3.4977,-0.1506,-0.0766,0.0055,0.169,3.498,55,14.535,0.0,0.0,0.0,0.03,ON,3.5
2026-03-26 16:42:33.345,PX4_0,False,0.004,-0.49,4.848,0.0151,-0.0971,0.0065,0.6758,-0.4811,-3.4986,-0.1493,-0.0483,0.0027,0.157,3.499,55,14.535,0.0,0.0,0.0,0.03,ON,3.5
2026-03-26 16:42:34.353,PX4_0,False,-0.024,-0.958,5.526,0.0426,-0.0381,-0.0096,0.6549,-0.5188,-3.5019,-0.177,-0.0204,0.0004,0.178,3.502,55,14.527,0.0,0.0,0.0,0.03,ON,3.5
2026-03-26 16:42:35.364,PX4_0,False,-0.308,-1.205,5.275,-0.0649,0.0681,0.0043,0.6028,-0.5039,-3.5077,-0.1247,-0.0273,-0.0053,0.128,3.508,55,14.527,0.0,0.0,0.0,0.03,ON,3.51
2026-03-26 16:42:36.367,OFFBOARD,True,-0.04,-1.241,5.367,-0.0123,0.0121,-0.0121,0.5746,-0.5267,-3.5174,-0.1087,-0.0471,0.004,0.118,3.517,55,14.546,0.0,0.0,0.0,0.03,ON,3.51
2026-03-26 16:42:37.377,OFFBOARD,True,0.134,-1.571,5.268,-0.0573,-0.0616,-0.0265,0.5206,-0.5541,-3.5067,-0.0486,-0.0441,0.0169,0.066,3.507,55,14.546,0.0,0.0,0.0,0.03,ON,3.49
2026-03-26 16:42:38.387,PX4_0,False,0.455,-2.304,5.339,0.0382,-0.033,-0.0021,0.445,-0.5689,-3.4956,0.0406,-0.0706,-0.0042,0.081,3.496,55,14.536,0.0,0.0,0.0,0.03,ON,3.5
2026-03-26 16:42:39.393,OFFBOARD,True,-0.355,-2.566,5.46,-0.0301,0.0083,-0.0085,0.4074,-0.5649,-3.5055,0.1095,-0.0007,0.0038,0.11,3.506,55,14.536,0.0,0.0,0.0,0.03,ON,3.51
2026-03-26 16:42:40.410,OFFBOARD,True,-0.115,-2.414,5.592,0.0235,0.0168,-0.0008,0.4013,-0.5459,-3.5074,0.2028,-0.0601,0.0127,0.212,3.507,55,14.545,0.0,0.0,0.0,0.03,ON,3.5
2026-03-26 16:42:41.416,OFFBOARD,True,0.546,-2.199,5.451,0.0383,0.0439,0.0217,0.4332,-0.6048,-3.5032,0.2431,-0.0589,0.0099,0.25,3.503,55,14.545,0.0,0.0,0.0,0.03,ON,3.49
2026-03-26 16:42:42.426,OFFBOARD,True,-0.251,-1.991,5.116,0.0186,0.0585,0.0248,0.4926,-0.612,-3.4855,0.2398,0.0059,-0.0006,0.24,3.486,55,14.528,0.0,0.0,0.0,0.03,ON,3.47
2026-03-26 16:42:43.442,OFFBOARD,True,-0.025,-1.55,5.309,0.0601,-0.0319,0.0044,0.5905,-0.6272,-3.4827,0.2043,0.0039,-0.0126,0.204,3.483,55,14.528,0.0,0.0,0.0,0.03,ON,3.48
2026-03-26 16:42:44.450,OFFBOARD,True,0.399,-0.737,5.262,0.0798,0.0082,-0.005,0.7392,-0.673,-3.498,0.1226,0.0207,-0.0177,0.124,3.498,55,14.517,0.0,0.0,0.0,0.03,ON,3.51
2026-03-26 16:42:45.453,OFFBOARD,True,0.529,-0.481,4.49,-0.0716,-0.0121,-0.024,0.885,-0.7154,-3.5162,0.005,0.0033,0.0029,0.006,3.516,55,14.517,0.0,0.0,0.0,0.03,ON,3.5
2026-03-26 16:42:46.459,OFFBOARD,True,0.654,-0.526,5.399,-0.0585,0.0054,0.0148,0.9216,-0.7233,-3.5,-0.1516,0.0459,0.0055,0.158,3.5,55,14.519,0.0,0.0,0.0,0.03,ON,3.49
2026-03-26 16:42:47.467,OFFBOARD,True,-0.216,-1.264,6.057,-0.0581,0.0746,0.0081,0.8586,-0.6836,-3.4935,-0.1791,0.0371,-0.0028,0.183,3.494,55,14.519,0.0,0.0,0.0,0.03,ON,3.48
2026-03-26 16:42:48.478,OFFBOARD,True,0.178,-1.801,6.205,-0.0362,-0.0554,-0.0239,0.7644,-0.686,-3.4901,-0.113,-0.0277,-0.0056,0.116,3.49,54,14.507,0.0,0.0,0.0,0.03,ON,3.48
2026-03-26 16:42:49.483,OFFBOARD,True,-0.122,-2.0,5.516,-0.0014,-0.0348,-0.0118,0.6686,-0.676,-3.498,-0.0301,-0.0043,-0.0054,0.03,3.498,54,14.507,0.0,0.0,0.0,0.03,ON,3.5
